doc_id,url,cache,fulltext,nature,published,entity_name,entity_type,geo_path
1330/3743e_CR-CM-23-JANVIER-2023.pdf,https://www.livarot-paysdauge.fr/wp-content/uploads/2023/03/CR-CM-23-JANVIER-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1330/3743e_CR-CM-23-JANVIER-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1330/3743e_CR-CM-23-JANVIER-2023.pdf.txt,,2023-01-23 00:00:00,Livarot-Pays-d'Auge,Commune,Livarot-Pays-d'Auge/CA Lisieux Normandie/Calvados/Normandie
1331/d5f62_20230101_Mag-janvier-Au-fil-de-leau-SA.pdf,https://www.sevremoine.fr/wp-content/uploads/2023/01/20230101_Mag-janvier-Au-fil-de-leau-SA.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1331/d5f62_20230101_Mag-janvier-Au-fil-de-leau-SA.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1331/d5f62_20230101_Mag-janvier-Au-fil-de-leau-SA.pdf.txt,,2023-01-01 00:00:00,Sèvremoine,Commune,Sèvremoine/CA Mauges Communauté/Maine-et-Loire/Pays de la Loire
1331/9f1f5_152-1-CR-examen-conjoint.pdf,https://www.sevremoine.fr/wp-content/uploads/2023/10/152-1-CR-examen-conjoint.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1331/9f1f5_152-1-CR-examen-conjoint.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1331/9f1f5_152-1-CR-examen-conjoint.pdf.txt,,2023-01-12 00:00:00,Sèvremoine,Commune,Sèvremoine/CA Mauges Communauté/Maine-et-Loire/Pays de la Loire
2356/19d19_Inscription-ALSH-mercredis-2-12-ans.pdf,https://lodevoisetlarzac.fr/app/uploads/2023/01/Inscription-ALSH-mercredis-2-12-ans.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2356/19d19_Inscription-ALSH-mercredis-2-12-ans.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2356/19d19_Inscription-ALSH-mercredis-2-12-ans.pdf.txt,,2023-01-01 00:00:00,CC Lodévois et Larzac,Intercommunalité,CC Lodévois et Larzac/Hérault/Occitanie
2263/0f393_Liste-des-deliberations-1.pdf,https://www.cc-paysdechantonnay.fr/medias/2023/01/Liste-des-deliberations-1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2263/0f393_Liste-des-deliberations-1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2263/0f393_Liste-des-deliberations-1.pdf.txt,,2023-01-25 00:00:00,CC Pays de Chantonnay,Intercommunalité,CC Pays de Chantonnay/Vendée/Pays de la Loire
2287/59a31_PV CONSEIL 19.1.2023.pdf,https://www.cc-lacsgorgesverdon.fr/ad_attachment/Comptes-rendus/2023/PV CONSEIL 19.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/59a31_PV CONSEIL 19.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/59a31_PV CONSEIL 19.1.2023.pdf.txt,,2023-01-19 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
2287/9a8b9_PV CONSEIL DU 26.1.2023.pdf,https://www.cc-lacsgorgesverdon.fr/ad_attachment/Comptes-rendus/2023/PV CONSEIL DU 26.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/9a8b9_PV CONSEIL DU 26.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/9a8b9_PV CONSEIL DU 26.1.2023.pdf.txt,,2023-01-26 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
1300/fb4ce_DEL2022029-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://www.evron.fr/wp-content/uploads/2023/01/DEL2022029-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1300/fb4ce_DEL2022029-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1300/fb4ce_DEL2022029-Annexe-Note-breve-et-synthetique-BP2023.pdf.txt,,2023-01-12 00:00:00,Évron,Commune,Évron/CC des Coëvrons/Mayenne/Pays de la Loire
1300/59125_DEL2022088-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://www.evron.fr/wp-content/uploads/2023/01/DEL2022088-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1300/59125_DEL2022088-Annexe-Note-breve-et-synthetique-BP2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1300/59125_DEL2022088-Annexe-Note-breve-et-synthetique-BP2023.pdf.txt,,2023-01-12 00:00:00,Évron,Commune,Évron/CC des Coëvrons/Mayenne/Pays de la Loire
3181/b15f2_CP-Centre-de-sante-sexuelle-Granville.pdf,https://www.manche.fr/wp-content/uploads/2023/01/CP-Centre-de-sante-sexuelle-Granville.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/3181/b15f2_CP-Centre-de-sante-sexuelle-Granville.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/3181/b15f2_CP-Centre-de-sante-sexuelle-Granville.pdf.txt,comm,2023-01-23 00:00:00,Préfecture - Manche,Préfecture,Manche/Normandie
2287/d9adb_RECAP MARCHES 2022.pdf,https://www.cc-lacsgorgesverdon.fr/ad_attachment/Divers 2023/RECAP MARCHES 2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/d9adb_RECAP MARCHES 2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/d9adb_RECAP MARCHES 2022.pdf.txt,,2023-01-04 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
2287/cdfff_RECAP MARCHES 2022.pdf,http://www.cc-lacsgorgesverdon.fr/ad_attachment/Divers 2023/RECAP MARCHES 2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/cdfff_RECAP MARCHES 2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/cdfff_RECAP MARCHES 2022.pdf.txt,,2023-01-04 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
2287/121c9_PV CONSEIL DU 26.1.2023.pdf,http://www.cc-lacsgorgesverdon.fr/ad_attachment/Comptes-rendus/2023/PV CONSEIL DU 26.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/121c9_PV CONSEIL DU 26.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/121c9_PV CONSEIL DU 26.1.2023.pdf.txt,,2023-01-26 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
2287/e3a8c_PV CONSEIL 19.1.2023.pdf,http://www.cc-lacsgorgesverdon.fr/ad_attachment/Comptes-rendus/2023/PV CONSEIL 19.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2287/e3a8c_PV CONSEIL 19.1.2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2287/e3a8c_PV CONSEIL 19.1.2023.pdf.txt,,2023-01-19 00:00:00,CC Lacs et Gorges du Verdon,Intercommunalité,CC Lacs et Gorges du Verdon/Var/Provence-Alpes-Côte d'Azur
3181/b197a_CP-Nouvelle-mandature-CDJ.pdf,https://www.manche.fr/wp-content/uploads/2023/01/CP-Nouvelle-mandature-CDJ.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/3181/b197a_CP-Nouvelle-mandature-CDJ.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/3181/b197a_CP-Nouvelle-mandature-CDJ.pdf.txt,comm,2023-01-05 00:00:00,Préfecture - Manche,Préfecture,Manche/Normandie
2894/cfa45_Le-bon-geste.pdf,https://grandouesttoulousain.fr/images/documents/Le-bon-geste.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2894/cfa45_Le-bon-geste.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2894/cfa45_Le-bon-geste.pdf.txt,,2023-01-01 00:00:00,CC Le Grand Ouest Toulousain,Intercommunalité,CC Le Grand Ouest Toulousain/Haute-Garonne/Occitanie
1258/822fd_2022-12-lettre-du-maire.pdf,https://www.ville-mainvilliers.fr/wp-content/uploads/2023/04/2022-12-lettre-du-maire.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1258/822fd_2022-12-lettre-du-maire.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1258/822fd_2022-12-lettre-du-maire.pdf.txt,,2023-01-11 00:00:00,Mainvilliers,Commune,Mainvilliers/CA Chartres Métropole/Eure-et-Loir/Centre-Val de Loire
1259/d1a3d_Essentiel_28-4.pdf,https://www.nerac.fr/images/publications/Essentiel_28-4.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1259/d1a3d_Essentiel_28-4.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1259/d1a3d_Essentiel_28-4.pdf.txt,,2023-01-19 00:00:00,Nérac,Commune,Nérac/CC Albret Communauté/Lot-et-Garonne/Nouvelle-Aquitaine
1259/0713e_DEL_001_-_COMPTE_RENDU_DES_DECISIONS_DU_MAIRE.pdf,https://www.nerac.fr/images/2-Vie-municipale/Conseil-municipal/Deliberations_CM/24_jan_2023/DEL_001_-_COMPTE_RENDU_DES_DECISIONS_DU_MAIRE.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1259/0713e_DEL_001_-_COMPTE_RENDU_DES_DECISIONS_DU_MAIRE.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1259/0713e_DEL_001_-_COMPTE_RENDU_DES_DECISIONS_DU_MAIRE.pdf.txt,acte.delib,2023-01-24 00:00:00,Nérac,Commune,Nérac/CC Albret Communauté/Lot-et-Garonne/Nouvelle-Aquitaine
